A;Augsburg (Stadt und Kreis) 
DKB;Ansbach 
DL;Landkreis Mittelsachsen
DLG;Dillingen an der Donau
DM;Mecklenburgische Seenplatte
DN;Düren
DO;Dortmund
DON;Donau-Ries
DU;Duisburg
DUD;Landkreis Göttingen
DÜW;Bad Dürkheim
DW;Sächsische Schweiz-Osterzgebirge
DZ;Landkreis Nordsachsen 
E;Essen
EA;Eisenach
EB;Landkreis Nordsachsen
EBE;Ebersberg
EBN;Haßberge
EBS;Kulmbach, Bayreuth, Forchheim 
ECK;Rendsburg-Eckernförde
ED;Erding
EE;Elbe-Elster
EF;Erfurt
EG;Rottal-Inn
EI;Eichstätt
EIC;Eichsfeld
EIL;Mansfeld-Südharz
EIN;Northeim 
EIS;Saale-Holzland-Kreis 
EL;Emsland 
EM;Emmendingen 
EMD;Emden 
EMS;Rhein-Lahn-Kreis
EN;Ennepe-Ruhr-Kreis
ER;Erlangen
ERB;Odenwaldkreis
ERH;Erlangen-Höchstadt
ERK;Heinsberg 
ERZ;Erzgebirgskreis
ES;Esslingen am Neckar
ESB;Neustadt a. d. Waldnaab, Amberg-Sulzbach, Bayreuth, Nürnberger Land 
ESW;Werra-Meißner-Kreis 
EU;Euskirchen
EW;Barnim 
F;Frankfurt am Main
FB;Wetteraukreis
FD;Fulda
FDB;Aichach-Friedberg
FDS;Freudenstadt 
FEU;Ansbach
FF;Frankfurt (Oder)
FFB;Fürstenfeldbruck
FG;Landkreis Mittelsachsen 
FI;Elbe-Elster
FKB;Waldeck-Frankenberg
FL;Flensburg
FLÖ;Landkreis Mittelsachsen 
FN;Bodenseekreis 
FO;Forchheim 
FOR;Spree-Neiße
FR;Freiburg im Breisgau
FR;Breisgau-Hochschwarzwald 
FRG;Freyung-Grafenau
FRI;Friesland
FRW;Märkisch-Oderland 
FS;Freising 
FT;Frankenthal 
FTL;Sächsische Schweiz- Osterzgebirge 
Fü;Fürth (Stadt und Kreis) 
FüS;Ostallgäu 
G;Gera
GA;Altmarkkreis-Salzwedel
GAN;Northeim
GAP;Garmisch-Partenkirchen
GC;Landkreis Zwickau
GD;Ostalbkreis
GDB;Landkreis Nordwestmecklenburg 
GE;Gelsenkirchen
GEL;Kleve
GEO;Haßberge, Schweinfurt
GER;Germersheim
GF;Gifhorn
GG;Groß-Gerau
GHA;Landkreis Leipzig
GHC;Wittenberg
GI;Gießen
GK;Heinsberg
GL;Rheinisch-Bergischer Kreis
GLA;Recklinghausen
GM;Oberbergischer Kreis
GMN;Landkreis Vorpommern-Rügen 
GN;Main-Kinzig-Kreis
GNT;Jerichower Land
GÖ;Göttingen (Stadt und Kreis)
GOA;Rhein-Hunsrück-Kreis
GOH;Rhein-Lahn-Kreis
GP;Göppingen
GR;Landkreis Görlitz
GRA;Freyung-Grafenau
GRH;Landkreis Meißen
GRI;Rottal-Inn
GRM;Landkreis Leipzig
GRZ;Greiz
GS;Goslar
GT;Gütersloh
GTH;Gotha
GUB;Spree-Neiße 
GUN;Weißenburg-Gunzenhausen
GÜ;Landkreis Rostock
GVM;Landkreis Nordwestmecklenburg
GW;Landkreis Vorpommern-Greifswald
GZ;Günzburg 
H;Hannover (Stadt und Kreis)
HA;Hagen
HAB;Bad Kissingen 
HAL;Halle (Saale) 
HAM;Hamm 
HAS;Haßberge
HB;Freie Hansestadt Bremen
HBN;Hildburghausen
HBS;Landkreis Harz
HC;Landkreis Mittelsachsen
HCH;Zollernalbkreis
HD;Heidelberg (Stadt und Kreis)
HDH;Heidenheim (Brenz)
HDL;Landkreis Börde
HE;Helmstedt
HEB;Nürnberger Land
HEF;Hersfeld-Rotenburg
HEI;Dithmarschen
HER;Herne
HET;Mansfeld-Südharz 
HF;Herford 
HG;Hochtaunuskreis 
HGN;Landkreis Ludwigslust-Parchim
HGW;Hansestadt Greifswald
HH;Freie und Hansestadt Hamburg
HHM;Burgenlandkreis
HI;Hildesheim
HIG;Eichsfeld
HIP;Roth 
HK;Heidekreis 
HL; Hansestadt Lübeck 
HM;Hameln-Pyrmont 
HMÜ;Landkreis Göttingen
HN;Heilbronn Neckar (Stadt und Kreis)
HO;Hof (Stadt und Kreis)
HOG;Kassel (Kreis)
HOH;Haßberge
HOL;Holzminden 
HOM;Saarpfalz-Kreis
HOR;Freudenstadt
HOT;Landkreis Zwickau
HÖS;Erlangen-Höchstadt
HP;Bergstraße 
HR;Schwalm-Eder-Kreis
HRO;Hansestadt Rostock
HS;Heinsberg
HSK;Hochsauerlandkreis
HST;Hansestadt Stralsund
HU;Main-Kinzig-Kreis 
HV;Stendal
HVL;Havelland
HWI;Hansestadt Wismar
HX;Höxter
HY;Landkreis Bautzen
HZ;Landkreis Harz 
IGB;St. Ingbert 
IK;Ilm-Kreis 
IL;Ilm-Kreis 
ILL;Neu-Ulm 
IN;Ingolstadt 
IZ;Steinburg 
J;Jena
JE;Wittenberg
JL;Jerichower Land
JÜL;Düren 
K;Köln
KA;Karlsruhe (Stadt und Kreis)
KB;Waldeck-Frankenberg
KC;Kronach
KE;Kempten
KEH;Kelheim
KEL;Ortenaukreis
KEM;Tirschenreuth, Bayreuth 
KF;Kaufbeuren 
KG;Bad Kissingen 
KH;Bad Kreuznach 
KI;Kiel 
KIB;Donnersbergkreis
KL;Kaiserslautern (Stadt und Kreis)
KLE;Kleve
KLZ;Altmarkkreis-Salzwedel 
KM;Landkreis Bautzen 
KN;Konstanz 
KO;Koblenz 
KÖN;Rhön-Grabfeld
KÖT;Anhalt-Bitterfeld
KÖZ;Cham
KR;Krefeld
KRU;Günzburg 
KS;Kassel (Stadt und Kreis) 
KT;Kitzingen 
KU;Kulmbach 
KÜN;Hohenlohekreis
KUS;Kusel
KY;Ostprignitz-Ruppin
KYF;Kyffhäuserkreis 
L;Leipzig (Stadt und Kreis)
LA;Landshut (Stadt und Kreis)
LAU;Nürnberger Land
LB;Ludwigsburg
LBS;Saale-Orla-Kreis
LBZ;Landkreis Ludwigslust-Parchim
LDK;Lahn-Dill-Kreis
LDS;Dahme-Spreewald
LEO;Böblingen
LER;Leer
LEV;Leverkusen 
LG;Lüneburg 
LH;Coesfeld 
LI;Lindau 
LIB;Elbe-Elster
LIF;Lichtenfels
LIP;Lippe
LL;Landsberg am Lech 
LM;Limburg-Weilburg
LÖ;Lörrach
LÖB;Landkreis Görlitz
LOS;Oder-Spree 
LP;Soest
LR;Ortenaukreis
LRO;Landkreis Rostock
LSZ;Unstrut-Hainich-Kreis
LU;Ludwigshafen
LUP;Ludwigslust-Parchim
LÜN;Unna
LWL;Landkreis Ludwigslust-Parchim 
M;München (Stadt und Kreis)
MA;Mannheim
MAB;Erzgebirgskreis
MAI;Kelheim, Landshut 
MAK;Wunsiedel i. Fichtelgebirge
MAL;Landshut
MB;Miesbach
MC;Mecklenburgische Seenplatte
MD;Magdeburg 
ME;Mettmann
MEI;Meißen
MEK;Erzgebirgskreis
MER;Saalekreis
MET;Rhön-Grabfeld
MG;Mönchengladbach
MGH;Main-T auber-Kreis
MGN;Schmalkalden-Meiningen
MH;Mülheim an der Ruhr
MHL;Unstrut-Hainich-Kreis
MI;Minden-Lübbecke
MIL;Miltenberg
MK;Märkischer Kreis
MKK;Main-Kinzig-Kreis
ML;Mansfeld-Südharz
MM;Memmingen
MN;Unterallgäu
MO;Wesel
MOD;Ostallgäu
MOL;Märkisch-Oderland 
MON;Aachen
MOS;Neckar-Odenwald-Kreis 
MQ;Saalekreis 
MR;Marburg-Biedenkopf 
MS;Münster 
MSE;Mecklenburgische Seenplatte
MSH;Mansfeld-Südharz
MSP;Main-Spessart
MST;Mecklenburgische Seenplatte 
MTK;Main-Taunus-Kreis 
MTL;Landkreis Leipzig 
MÜ;Mühldorf am Inn
MÜB;Bayreuth, Hof
MÜR;Mecklenburgische Seenplatte
MW;Landkreis Mittelsachsen
MY;Mayen-Koblenz
MYK;Mayen-Koblenz
MZ;Mainz
MZ;Mainz-Bingen
MZG;Merzig-Wadern 
N;Nürnberg, Nürnberger Land
NAB;Amberg-Sulzbach, Schwandorf
NAI;Hof
NB;Neubrandenburg
ND;Neuburg-Schrobenhausen 
NDH;Nordhausen
NE;Rhein-Kreis Neuss 
NEA;Neustadt an der Aisch 
NEB;Burgenlandkreis 
NEC;Coburg 
NEN;Schwandorf
NES;Rhön-Grabfeld
NEW;Neustadt an der Waldnaab
NF;Nordfriesland 
NH;Sonneberg 
NI;Nienburg / Weser 
NK;Neunkirchen
NM;Neumarkt in der Oberpfalz
NMB;Burgenlandkreis
NMS;Neumünster
NOH;Grafschaft Bentheim 
NOL;Landkreis Görlitz
NOM;Northeim
NOR;Aurich
NÖ;Donau-Ries 
NP;Ostprignitz-Ruppin
NR;Neuwied (Stadt und Kreis)
NT;Esslingen
NU;Neu-Ulm
NVP;Landkreis Vorpommern-Rügen
NW;Neustadt an der Weinstraße
NWM;Landkreis Nordwestmecklenburg
NY;Landkreis Görlitz
NZ;Mecklenburgische Seenplatte 
OA;Oberallgäu 
OAL;Ostallgäu
OB;Oberhausen
OBG;Stendal 
OC;Landkreis Börde
OCH;Würzburg
OD;Stormarn
OE;Olpe 
OF;Offenbach (Stadt und Kreis)
OG;Ortenaukreis
OH;Ostholstein
OHA;Osterode am Harz 
OHV;Oberhavel
OHZ;Osterholz
OK;Landkreis Börde
OL;Oldenburg (Stadt und Kreis)
OPR;Ostprignitz-Ruppin
OS;Osnabrück (Stadt und Kreis)
OSL;Oberspreewald-Lausitz
OVI;Schwandorf
OVL;Vogtlandkreis
OVP;Landkreis Vorpommern-Greifswald
OZ;Landkreis Nordsachsen 
P;Potsdam
PA;Passau (Stadt und Kreis) 
PAF;Pfaffenhofen 
PAN;Rottal-Inn
PAR;Neumarkt i. d. Opf., Kelheim
PB;Paderborn
PCH;Landkreis Ludwigslust-Parchim
PE;Peine
PEG;Bayreuth, Forchheim, Nürnberger Land
PF;Pforzheim (Stadt und Kreis) 
PI;Pinneberg 
PIR;Sächsische Schweiz- Osterzgebirge 
PL;Vogtlandkreis
PLÖ;Plön 
PM;Potsdam-Mittelmark 
PN;Saale-Orla-Kreis 
PR;Prignitz
PRÜ;Bitburg-Prüm
PS;Pirmasens (Stadt und Kreis)
PW;Landkreis Vorpommern-Greifswald
PZ;Uckermark 
QFT;Saalekreis
QLB;Landkreis Harz 
R;Regensburg (Stadt und Kreis)
RA;Rastatt 
RC;Vogtlandkreis 
RD;Rendsburg-Eckernförde 
RDG;Landkreis Vorpommern-Rügen
RE;Recklinghausen 
REG;Regen 
REH;Hof, Wunsiedel i. Fichtelgebirge 
RG;Landkreis Meißen 
RH;Roth 
RI;Schaumburg 
RID;Kelheim 
RIE;Landkreis Meißen 
RL;Landkreis Mittelsachsen 
RM;Mecklenburgische Seenplatte 
RO;Rosenheim (Stadt und Kreis)
ROD;Cham, Schwandorf
ROF;Hersfeld-Rotenburg 
ROK;Donnersbergkreis
ROL;Kelheim, Landshut
ROS;Landkreis Rostock
ROT;Ansbach 
ROW;Rotenburg (Wümme)
RP;Rhein-Pfalz-Kreis
RS;Remscheid
RSL;Dessau-Roßlau 
RT;Reutlingen
RU;Saalfeld-Rudolstadt
RÜD;Rheingau-Taunus Kreis
RÜG;Landkreis Vorpommern-Rügen
RV;Ravensburg
RW;Rottweil
RZ;Herzogtum Lauenburg 
S;Stuttgart
SAB;Landkreis Trier-Saarburg
SAD;Schwandorf
SAN;Hof, Kulmbach, Kronach
SAW;Altmarkkreis-Salzwedel
SB;Saarbrücken
SBG;Vorpommern-Greifswald
SBK;Salzlandkreis
SC;Schwabach
SCZ;Saale-Orla-Kreis
SDH;Kyffhäuserkreis
SDL;Stendal
SDT;Uckermark
SE;Segeberg
SEB;Sächsische Schweiz-Osterzgebirge
SEE;Märkisch Oderland 
SEF;Neustadt a. d. Aisch-Bad Windsheim 
SEL;Wunsiedel i. Fichtelgebirge
SFB;Oberspreewald-Lausitz
SFT;Salzlandkreis
SG;Solingen 
SGH;Mansfeld-Südharz
SHA;Schwäbisch Hall
SHG;Schaumburg 
SHK;Saale-Holzland-Kreis 
SHL;Suhl 
SI;Siegen-Wittgenstein
SIG;Sigmaringen 
SIM;Rhein-Hunsrück-Kreis 
SK;Saalekreis 
SL;Schleswig-Flensburg 
SLE;Euskirchen 
SLF;Saalfeld-Rudolstadt 
SLK;Salzlandkreis SLN Altenburger Land
SLS;Saarlouis 
TBB;Main-Tauber-Kreis
TDO;Landkreis Nordsachsen
TE;Steinfurt
TET;Landkreis Rostock
TF;Teltow-Fläming
TG;Landkreis Nordsachsen
TIR;Tirschenreuth
TO;Landkreis Nordsachsen
TÖL;Bad Tölz-Wolfratshausen
TP;Uckermark
TR;Trier
TS;Traunstein
TÜ;Tübingen
TUT;Tuttlingen 
UE;Uelzen 
UEM;Landkreis Vorpommern-Greifswald 
UER;Landkreis Vorpommern-Greifswald 
UFF;Neustadt a. d. Aisch-Bad Windsheim 
USI;Hochtaunuskreis 
SLÜ;Main-Kinzig-Kreis
SLZ;Wartburgkreis 
SM;Schmalkalden-Meiningen 
SN;Schwerin, Stadt 
SO;Soest 
SOB;Neuburg-Schrobenhausen
SOG;Weilheim-Schongau
SOK;Saale-Orla-Kreis
SÖM;Sömmerda
SON;Sonneberg
SP;Speyer
SPB;Spree-Neiße
SPN;Spree-Neiße
SR;Straubing (Stadt und Kreis)
SRB;Märkisch Oderland
SRO;Saale-Holzland-Kreis
ST;Steinfurt 
STA;Starnberg 
STB;Ludwigslust-Parchim 
STD;Stade 
STE;Lichtenfels 
STL;Erzgebirgskreis wald 
SU;Rhein-Sieg-Kreis
SUL;Amberg-Sulzbach
SÜW;Südliche Weinstraße
SW;Schweinfurt (Stadt und Kreis)
SWA;Rheingau-Taunus-Kreis 
SZ;Salzgitter
SZB;Erzgebirgskreis 
VIB;Landshut, Rottal-Inn
VIE;Viersen
VK;Völklingen
VOH;Neustadt a. d. Waldnaab
VR;Landkreis Vorpommern-Rügen
VS;Schwarzwald-Baar-Kreis 
W;Wuppertal 
UH;Unstrut-Hainich-Kreis
UL;Ulm (Stadt und Kreis)
UM;Uckermark
UN;Unna 
V;Vogtlandkreis
VAI;Ludwigsburg
VB;Vogelsbergkreis
VEC;Vechta 
VER;Verden
VG;Landkreis Vorpommern-Greifs- 
WA;Waldeck-Frankenberg
WAF;Warendorf
WAK;Wartburgkreis
WAN;Herne 
WAT;Bochum
WB;Wittenberg
WBS;Eichsfeld
WDA;Landkreis Zwickau
WE;Weimar
WEL;Limburg-Weilburg
WEN;Weiden in der Oberpfalz 
WER;Dillingen a. d. Donau 
WES;Wesel 
WF;Wolfenbüttel
WHV;Wilhelmshaven
WI;Wiesbaden
WIL;Bernkastel-Wittlich 
WIS;Landkreis Nordwestmecklenburg 
WIT;Ennepe-Ruhr-Kreis 
WIZ;Werra-Meißner-Kreis 
WK;Ostprignitz-Ruppin 
WL;Harburg 
WLG;Landkreis Vorpommern-Greifswald
WM;Weilheim-Schongau 
WMS;Landkreis Börde
WN;Rems-Murr-Kreis
WND;St. Wendel
WO;Worms 
WOB;Wolfsburg 
WOH;Kassel (Kreis)
WOL;Ortenaukreis 
WOR;Bad Tölz-Wolfratshausen, Landkreis München, Starnberg 
WOS;Freyung-Grafenau 
WR;Landkreis Harz
WRN;Mecklenburgische Seenplatte 
WS;Rosenheim
WSF;Burgenlandkreis
WST;Ammerland
WSW;Landkreis Görlitz
WT;Waldshut 
WTM;Wittmund
WÜ;Würzburg (Stadt und Kreis)
WÜM;Cham
WUG;Weißenburg-Gunzenhausen
WUN;Wunsiedel
WUR;Leipzig (Kreis)
WW;Westerwaldkreis
WZ;Lahn-Dill-Kreis
WZL;Landkreis Börde 
Z;Landkreis Zwickau
ZE;Anhalt-Bitterfeld
ZEL;Cochem-Zell
ZI;Landkreis Görlitz
ZP;Erzgebirgskreis
ZR;Greiz 
ZW;Zweibrücken
ZZ;Burgenlandkreis 
